LoanNumber,LoanGuid,LoanFolder,ClosingDate
4.00E+14,60c63493-0b76-4a29-87bb-8c35ec7e3685,Active,9/27/2024 0:00
4.00E+14,9b052ebe-8afb-4830-bc67-167955fb505c,Active,9/27/2024 0:00
4.00E+14,26887d12-dc71-469f-86b0-2bf5786060f8,Active,9/27/2024 0:00
4.00E+14,4f178a30-7223-4b47-842e-4bc42a18e268,Active,9/27/2024 0:00
9.60E+14,00c9f6e4-42d8-4d23-9b89-3e5064bc8641,Active,9/27/2024 0:00
4.00E+14,e722091b-4cc9-4b5c-b28a-ffd1d4cacd08,Active,9/27/2024 0:00
4.41E+14,894af0c8-f46b-4db7-9459-9ff01efbcc79,Active,9/27/2024 0:00
4.00E+14,6d9c3449-07aa-4558-87e3-e2168c6892e7,Active,9/27/2024 0:00
4.00E+14,708ca185-6955-4af7-9c13-2d22795d08c9,Active,9/27/2024 0:00
4.00E+14,c941ad7c-0624-47d0-b025-0ce931ec0c06,Active,9/27/2024 0:00
4.00E+14,a544bf05-f76e-4b29-8500-dcf811805e2f,Active,9/27/2024 0:00
4.00E+14,3a48850c-126c-4469-815e-9795df99447e,Active,9/27/2024 0:00
4.00E+14,11525d99-5a5b-484d-86dd-e949e9889aec,Active,9/27/2024 0:00
4.00E+14,42dabd42-6c09-4d9b-8430-c06b096530bd,Active,9/27/2024 0:00
4.00E+14,164244af-b5b1-4b96-a1f3-bceb5cd0c60e,Active,9/27/2024 0:00
4.00E+14,a27ce770-10d5-407d-8673-12a0ab826e81,Active,9/27/2024 0:00
4.00E+14,2479e5fb-3271-4499-a838-b66afa9939bb,Active,9/27/2024 0:00
4.00E+14,643756ea-287e-4712-8258-339c2c0b46c2,Active,9/27/2024 0:00
4.41E+14,10375436-195b-46be-b9b6-c510912101cb,Active,9/27/2024 0:00
4.00E+14,4159001a-e18f-4765-a732-1ad13fea7204,Active,9/27/2024 0:00
4.00E+14,1fed561c-0c2a-48b5-81f0-0d02e8989d43,Active,9/27/2024 0:00
4.00E+14,1d496697-9864-4608-ac9d-f32b3e0a64dd,Active,9/27/2024 0:00
4.00E+14,46553fdb-f5a3-413c-99c2-5003ff6a6890,Active,9/27/2024 0:00
4.00E+14,b6a3c4a4-333d-4ad9-900b-3870a67ec689,Active,9/27/2024 0:00
4.00E+14,7e2fd453-9def-4b92-b967-3a1bdd233fd1,Active,9/27/2024 0:00
4.00E+14,1c52ce85-a818-4913-92ac-1f7394ff8594,Active,9/27/2024 0:00
4.00E+14,1d113c1d-64d9-41c8-be31-5c28c71999a7,Active,9/27/2024 0:00
4.00E+14,20ba519c-7aa5-415c-8f46-0ad791715370,Active,9/27/2024 0:00
9.68E+14,1f60faa6-8083-4487-aac1-8651983fd434,Active,9/27/2024 0:00
4.81E+14,449b6592-902c-4c2a-bfe5-e8a3ae6e9a8d,Active,9/27/2024 0:00
4.00E+14,36ffc99c-3106-4ebc-a97a-c7954833819a,Active,9/27/2024 0:00
4.41E+14,bb9b3d82-bd51-4ac0-b13b-cc7bc1ab1415,Active,9/27/2024 0:00
4.00E+14,7735ae2e-0273-4c6a-8610-e31e99032e3b,Active,9/27/2024 0:00
4.41E+14,5f7eefdc-902f-4354-b09f-21b51322fe60,Active,9/27/2024 0:00
4.00E+14,fccd90c9-fba0-497a-ba9a-df90bb3700e2,Active,9/27/2024 0:00
